Via,Longitud en kilometros,Vigente desde,Motos,Autos,Autobuses 2 ejes,Autobuses 3 ejes,Autobuses 4 ejes,Camiones 2 ejes,Camiones 3 ejes,Camiones 4 ejes,Camiones 5 ejes,Camiones 6 ejes,Camiones 7 ejes,Camiones 8 ejes,Camiones 9 ejes
Ent. Acambay - Ent. Ajoloapan,94.34,01/02/2014,78,156,275,275,275,275,275,275,408,408,622,622,622
Ent. Acambay - Ent. Atitalaquia,72.16,01/02/2014,61,123,213,213,213,213,213,213,313,313,477,477,477
Ent. Acambay - Ent. Tula I,64.68,01/02/2014,56,113,190,190,190,190,190,190,280,280,432,432,432
Ent. Acambay - Ent. Tula II,54.98,01/02/2014,47,95,157,157,157,157,157,157,235,235,365,365,365
Ent. Acambay - Ent. Querétaro,34.98,01/02/2014,31,62,101,101,101,101,101,101,155,155,230,230,230
Ent. Acambay - Ent. Jilotepec,27.5,01/02/2014,26,52,83,83,83,83,83,83,117,117,185,185,185
Ent. Jilotepec - Ent. Puebla,183.85,01/02/2014,152,305,544,544,544,544,544,544,783,783,"1,210.00","1,210.00","1,210.00"
Ent. Jilotepec - Ent. Texmelucan,179.85,01/02/2014,150,300,534,534,534,534,534,534,765,765,"1,187.00","1,187.00","1,187.00"
Ent. Jilotepec - Ent. Sanctórum,152.85,01/02/2014,124,249,449,449,449,449,449,449,653,653,"1,002.00","1,002.00","1,002.00"
Ent. Jilotepec - Ent. Calpulalpan,138.39,01/02/2014,113,226,411,411,411,411,411,411,591,591,912,912,912
Ent. Jilotepec - Ent. Cd. Sahagún,120.57,01/02/2014,99,198,355,355,355,355,355,355,518,518,795,795,795
Ent. Jilotepec - Ent. Tulancingo,109.15,01/02/2014,90,180,322,322,322,322,322,322,466,466,715,715,715
Ent. Jilotepec - Ent. Pachuca,85.37,01/02/2014,71,142,254,254,254,254,254,254,371,371,565,565,565
Ent. Jilotepec - Ent. Ajoloapan,66.84,01/02/2014,52,104,192,192,192,192,192,192,291,291,437,437,437
Ent. Jilotepec - Ent. Atitalaquia,44.66,01/02/2014,35,71,130,130,130,130,130,130,196,196,292,292,292
Ent. Jilotepec - Ent. Tula I,37.18,01/02/2014,30,61,107,107,107,107,107,107,163,163,247,247,247
Ent. Jilotepec - Ent. Tula II,27.48,01/02/2014,21,43,74,74,74,74,74,74,118,118,180,180,180
Ent. Jilotepec - Ent. Querétaro,7.48,01/02/2014,5,10,18,18,18,18,18,18,38,38,45,45,45
Ent. Querétaro - Ent. Puebla,176.37,01/02/2014,147,295,526,526,526,526,526,526,745,745,"1,165.00","1,165.00","1,165.00"
Ent. Querétaro - Ent. Texmelucan,172.37,01/02/2014,145,290,516,516,516,516,516,516,727,727,"1,142.00","1,142.00","1,142.00"
Ent. Querétaro - Ent. Sanctórum,145.37,01/02/2014,119,239,431,431,431,431,431,431,615,615,957,957,957
Ent. Querétaro - Ent. Calpulalpan,130.91,01/02/2014,108,216,393,393,393,393,393,393,553,553,867,867,867
Ent. Querétaro - Ent. Cd. Sahagún,113.09,01/02/2014,94,188,337,337,337,337,337,337,480,480,750,750,750
Ent. Querétaro - Ent. Tulancingo,101.67,01/02/2014,85,170,304,304,304,304,304,304,428,670,670,670,
Ent. Querétaro - Ent. Pachuca,77.89,01/02/2014,66,132,236,236,236,236,236,236,333,333,520,520,520
Ent. Querétaro - Ent. Ajoloapan,59.36,01/02/2014,47,94,174,174,174,174,174,174,253,253,392,392,392
Ent. Querétaro - Ent. Atitalaquia,37.18,01/02/2014,30,61,112,112,112,112,112,112,158,158,247,247,247
Ent. Querétaro - Ent. Tula I,29.7,01/02/2014,25,51,89,89,89,89,89,89,125,125,202,202,202
Ent. Querétaro - Ent. Tula II,20,01/02/2014,16,33,56,56,56,56,56,56,80,80,135,135,135
Ent. Tula II - Ent. Puebla,156.37,01/02/2014,131,262,470,470,470,470,470,470,665,665,"1,030.00","1,030.00","1,030.00"
Ent. Tula II - Ent. Texmelucan,152.37,01/02/2014,128,257,460,460,460,460,460,460,647,647,"1,007.00","1,007.00","1,007.00"
Ent. Tula II - Ent. Sanctórum,125.37,01/02/2014,103,206,375,375,375,375,375,375,535,535,822,822,822
Ent. Tula II - Ent. Calpulalpan,110.91,01/02/2014,91,183,337,337,337,337,337,337,473,473,732,732,732
Ent. Tula II - Ent. Cd. Sahagún,93.09,01/02/2014,77,155,281,281,281,281,281,281,400,400,615,615,615
Ent. Tula II - Ent. Tulancingo,81.67,01/02/2014,68,137,248,248,248,248,248,248,348,348,535,535,535
Ent. Tula II - Ent. Pachuca,57.89,01/02/2014,49,99,180,180,180,180,180,180,253,253,385,385,385
Ent. Tula II - Ent. Ajoloapan,39.36,01/02/2014,30,61,118,118,118,118,118,118,173,173,257,257,257
Ent. Tula II - Ent. Atitalaquia,17.18,01/02/2014,14,28,56,56,56,56,56,56,78,78,112,112,112
Ent. Tula II - Ent. Tula I,9.7,01/02/2014,9,18,33,33,33,33,33,33,45,45,67,67,67
Ent. Tula I - Ent. Puebla,146.67,01/02/2014,122,244,437,437,437,437,437,437,620,620,963,963,963
Ent. Tula I - Ent. Texmelucan,142.67,01/02/2014,119,239,427,427,427,427,427,427,602,602,940,940,940
Ent. Tula I - Ent. Sanctórum,115.67,01/02/2014,94,188,342,342,342,342,342,342,490,490,755,755,755
Ent. Tula I - Ent. Calpulalpan,101.21,01/02/2014,82,165,304,304,304,304,304,304,428,428,665,665,665
Ent. Tula I - Ent. Cd. Sahagún,83.39,01/02/2014,68,137,248,248,248,248,248,248,355,355,548,548,548
Ent. Tula I - Ent. Tulancingo,71.97,01/02/2014,59,119,215,215,215,215,215,215,303,303,468,468,468
Ent. Tula I - Ent. Pachuca,48.19,01/02/2014,40,81,147,147,147,147,147,147,208,208,318,318,318
Ent. Tula I - Ent. Ajoloapan,29.66,01/02/2014,21,43,85,85,85,85,85,85,128,128,190,190,190
Ent. Tula I - Ent. Atitalaquia,7.48,01/02/2014,5,10,23,23,23,23,23,23,33,33,45,45,45
Ent. Atitalaquia - Ent. Puebla,139.19,01/02/2014,117,234,414,414,414,414,414,414,587,587,918,918,918
Ent. Atitalaquia - Ent. Texmelucan,135.19,01/02/2014,114,229,404,404,404,404,404,404,569,569,895,895,895
Ent. Atitalaquia - Ent. Sanctórum,108.19,01/02/2014,89,178,319,319,319,319,319,319,457,457,710,710,710
Ent. Atitalaquia - Ent. Calpulalpan,93.73,01/02/2014,77,155,281,281,281,281,281,281,395,395,620,620,620
Ent. Atitalaquia - Ent. Cd. Sahagún,75.91,01/02/2014,63,127,225,225,225,225,225,225,322,322,503,503,503
Ent. Atitalaquia - Ent. Tulancingo,64.49,01/02/2014,54,109,192,192,192,192,192,192,270,270,423,423,423
Ent. Atitalaquia - Ent. Pachuca,40.71,01/02/2014,35,71,124,124,124,124,124,124,175,175,273,273,273
Ent. Atitalaquia - Ent. Ajoloapan,22.18,01/02/2014,16,33,62,62,62,62,62,62,95,95,145,145,145
Ent. Ajoloapan - Ent. Puebla,117.01,01/02/2014,100,201,352,352,352,352,352,352,492,492,773,773,773
Ent. Ajoloapan - Ent. Texmelucan,113.01,01/02/2014,98,196,342,342,342,342,342,342,474,474,750,750,750
Ent. Ajoloapan - Ent. Sanctórum,86.01,01/02/2014,72,145,257,257,257,257,257,257,362,362,565,565,565
Ent. Ajoloapan - Ent. Calpulalpan,71.55,01/02/2014,61,122,219,219,219,219,219,219,300,300,475,475,475
Ent. Ajoloapan - Ent. Cd. Sahagún,53.73,01/02/2014,47,94,163,163,163,163,163,163,227,227,358,358,358
Ent. Ajoloapan - Ent. Tulancingo,42.31,01/02/2014,38,76,130,130,130,130,130,130,175,175,278,278,278
Ent. Ajoloapan - Ent. Pachuca,18.53,01/02/2014,19,38,62,62,62,62,62,62,80,80,128,128,128
Ent. Pachuca - Ent. Puebla,98.48,01/02/2014,81,163,290,290,290,290,290,290,412,412,645,645,645
Ent. Pachuca - Ent. Texmelucan,94.48,01/02/2014,79,158,280,280,280,280,280,280,394,394,622,622,622
Ent. Pachuca - Ent. Sanctórum,67.84,01/02/2014,53,107,195,195,195,195,195,195,282,282,437,437,437
Ent. Pachuca - Ent. Calpulalpan,53.02,01/02/2014,42,84,157,157,157,157,157,157,220,220,347,347,347
Ent. Pachuca - Ent. Cd. Sahagún,35.2,01/02/2014,28,56,101,101,101,101,101,101,147,147,230,230,230
Ent. Pachuca - Ent. Tulancingo,23.78,01/02/2014,19,38,68,68,68,68,68,68,95,95,150,150,150
Ent. Tulancingo - Ent. Puebla,74.7,01/02/2014,62,125,222,222,222,222,222,222,317,317,495,495,495
Ent. Tulancingo - Ent. Texmelucan,70.7,01/02/2014,60,120,212,212,212,212,212,212,299,299,472,472,472
Ent. Tulancingo - Ent. Sanctórum,43.7,01/02/2014,34,69,127,127,127,127,127,127,187,187,287,287,287
Ent. Tulancingo - Ent. Calpulalpan,29.24,01/02/2014,23,46,89,89,89,89,89,89,125,125,197,197,197
Ent. Tulancingo - Cd. Sahagún,11.42,01/02/2014,9,18,33,33,33,33,33,33,52,52,80,80,80
Ent. Cd. Sahagún - Ent. Puebla,63.28,01/02/2014,53,107,189,189,189,189,189,189,265,265,415,415,415
Ent. Cd. Sahagún - Ent. Texmelucan,59.28,01/02/2014,51,102,179,179,179,179,179,179,247,247,392,392,392
Ent. Cd. Sahagún - Ent. Sanctórum,32.28,01/02/2014,25,51,94,94,94,94,94,94,135,135,207,207,207
Ent. Cd. Sahagún - Ent. Calpulalpan,17.82,01/02/2014,14,28,56,56,56,56,56,56,73,73,117,117,117
Ent. Calpulalpan - Ent. Puebla,45.46,01/02/2014,39,79,133,133,133,133,133,133,192,192,298,298,298
Ent. Calpulalpan - Ent. Texmelucan,41.46,01/02/2014,37,74,123,123,123,123,123,123,174,174,275,275,275
Ent. Calpulalpan - Ent. Sanctórum,14.46,01/02/2014,11,23,38,38,38,38,38,38,62,62,90,90,90
Ent. Sanctórum - Ent. Puebla,31,01/02/2014,28,56,95,95,95,95,95,95,130,130,208,208,208
Ent. Sanctórum - Ent. Texmelucan,27,01/02/2014,25,51,85,85,85,85,85,85,112,112,185,185,185
Ent. Texmelucan - Ent. Puebla,4,01/02/2014,2,5,10,10,10,10,10,10,18,18,23,23,23
Libramiento Oriente de Saltillo,21,29/08/2012,17,35,50,50,50,0,0,0,0,0,0,0,0
Libramiento Oriente de San Luis Potosí,33.76,01/04/2014,28,56,108,108,108,108,108,108,127,127,198,198,198
Libramiento Poniente de Tampico,14.478,29/08/2012,12,25,45,45,45,45,45,45,70,70,85,85,85
Libramiento Poniente de Tampico,14.478,29/08/2012,12,25,45,45,45,45,45,45,70,70,85,85,85
Boulevard Loma Real - Ent. Altamira,8.378,29/08/2012,6,12,25,25,25,25,25,25,35,35,45,45,45
Ent. Ciudad Valles - Boulevard Loma Real,6.1,29/08/2012,6,12,25,25,25,25,25,25,35,35,45,45,45
Libramiento Sur II de Reynosa,6.1,03/10/2012,3,7,14,14,14,14,14,21,21,28,28,28,28
Maravatío - Zapotlanejo,309.7,17/01/2014,257,516,815,815,815,800,800,800,959,959,"1,068.00","1,068.00","1,068.00"
Zapotlanejo del Rey - Zapotlanejo,28.7,17/01/2014,24,49,65,65,65,65,65,65,95,95,115,115,115
Maravatío - Morelia,75.427,17/01/2014,64,128,209,209,209,203,203,203,233,233,262,262,262
Maravatío - Zinapécuaro,37.216,17/01/2014,32,64,104,104,104,100,100,100,115,115,130,130,130
Maravatío - Jeráhuaro,21.113,17/01/2014,18,36,60,60,60,57,57,57,66,66,78,78,78
Jeráhuaro - Zinapécuaro,16.103,17/01/2014,14,28,44,44,44,43,43,43,49,49,52,52,52
Zinapécuaro - Morelia,38.211,17/01/2014,32,64,105,105,105,103,103,103,118,118,132,132,132
Morelia - Churintzio,105.894,17/01/2014,85,171,268,268,268,265,265,265,329,329,358,358,358
Morelia - Panindícuaro,66.663,17/01/2014,57,115,173,173,173,171,171,171,210,210,224,224,224
Morelia - Huaniqueo,39.573,17/01/2014,33,67,104,104,104,103,103,103,120,120,124,124,124
Huaniqueo - Panindícuaro,27.09,17/01/2014,24,48,69,69,69,68,68,68,90,90,100,100,100
Panindícuaro - Churintzio,39.231,17/01/2014,28,56,95,95,95,94,94,94,119,119,134,134,134
Churintzio - La Barca,55.823,17/01/2014,44,89,143,143,143,140,140,140,172,172,194,194,194
Churintzio - Ecuandureo,13.682,17/01/2014,7,14,33,33,33,31,31,31,38,38,48,48,48
Ecuandureo - La Barca,42.141,17/01/2014,37,75,110,110,110,109,109,109,134,134,146,146,146
Vista Hermosa - La Barca,12.144,17/01/2014,12,24,34,34,34,33,33,33,37,37,42,42,42
La Barca - Zapotlanejo,72.556,17/01/2014,64,128,195,195,195,192,192,192,225,225,254,254,254
La Barca - Ocotlán,23.811,17/01/2014,21,42,68,68,68,67,67,67,71,71,75,75,75
Ocotlán - Zapotlanejo,48.095,17/01/2014,42,85,128,128,128,125,125,125,154,154,180,180,180
Mazatlán - Culiacán,181.5,31/01/2014,112,224,371,371,371,389,389,389,436,436,559,559,559
El Venadillo - Ent. La Cruz,89.541,31/01/2014,52,104,178,178,178,188,188,188,210,210,275,275,275
Ent. La Cruz - Costa Rica,91.959,31/01/2014,60,120,193,193,193,201,201,201,226,226,284,284,284
Ent. La Cruz - Quilá,64.259,31/01/2014,42,85,143,143,143,150,150,150,154,154,208,208,208
Quilá - Costa Rica,27.7,31/01/2014,18,35,50,50,50,51,51,51,72,72,76,76,76
Mérida - Cancún,241.34,01/01/2014,203,407,761,761,761,761,"1,090.00","1,090.00","1,684.00","1,684.00","2,241.00","2,241.00","2,241.00"
Kantunil - Valladolid,90,01/01/2014,74,149,285,285,285,285,406,406,622,622,829,829,829
Kantunil - Pisté,50,01/01/2014,43,86,156,156,156,156,228,228,336,336,457,457,457
Pisté - Valladolid,40,01/01/2014,31,63,129,129,129,129,178,178,285,285,372,372,372
Valladolid - Cancún,151.34,01/01/2014,129,258,476,476,476,476,684,684,"1,062.00","1,062.00","1,412.00","1,412.00","1,412.00"
México - Cuernavaca,61.54,29/08/2012,47,95,175,175,175,175,175,175,295,295,425,425,425
México - Cuernavaca,61.54,29/08/2012,47,95,175,175,175,175,175,175,295,295,425,425,425
Tres Marías - Cuernavaca,27.5,29/08/2012,17,35,75,75,75,75,75,75,145,145,205,205,205
México - La Marquesa,22,15/09/2013,35,70,140,140,140,140,140,140,210,210,280,280,280
México - La Marquesa,22,15/09/2013,35,70,140,140,140,140,140,140,210,210,280,280,280
México - La Venta,11.5,15/09/2013,17,35,70,70,70,70,70,70,105,105,140,140,140
México - Santa Fe,5.13,04/02/2012,2,5,0,0,0,0,0,0,0,0,0,0,0
México - Contadero,10.93,15/09/2013,17,35,70,70,70,70,70,70,105,105,140,140,140
Contadero - La Marquesa,11.07,15/09/2013,17,35,70,70,70,70,70,70,105,105,140,140,140
La Venta - La Marquesa,10.5,15/09/2013,17,35,70,70,70,70,70,70,105,105,140,140,140
México - Pachuca,45.8,15/01/2014,22,44,86,86,86,86,86,170,170,260,260,260,260
Indios Verdes - Tizayuca,45.8,15/01/2014,22,44,86,86,86,86,86,170,170,260,260,260,260
Indios Verdes - San Cristóbal Ecatepec,8.8,15/01/2014,8,16,29,29,29,29,29,61,61,81,81,81,81
México - Lechería/Texcoco,11.2,15/01/2014,11,22,37,37,37,37,37,76,76,104,104,104,104
México - Huehuetoca,11.2,15/01/2014,11,22,37,37,37,37,37,76,76,104,104,104,104
Huehuetoca - Pachuca,2.3,15/01/2014,2,4,6,6,6,6,6,17,17,22,22,22,22
México - Puebla,110.91,29/08/2012,65,130,270,270,270,270,270,525,525,750,750,750,750
México - Circuito Ext. Mexiquense,15.955,29/08/2012,7,15,30,30,30,30,30,45,45,70,70,70,70
México - San Martín Texmelucan,74.555,29/08/2012,50,100,195,195,195,195,195,380,380,540,540,540,540
México - Chalco,15.055,29/08/2012,7,15,30,30,30,30,30,45,45,70,70,70,70
San Martín Texmelucan - Puebla,36.155,29/08/2012,15,30,75,75,75,75,75,145,145,210,210,210,210
México - Querétaro,115.312,29/08/2012,70,140,290,290,290,290,290,550,550,795,795,795,795
Circuito Exterior Mexiquense - Tepeji,35.092,16/01/2007,38,38,68,68,68,67,67,137,137,195,195,195,195
México - Tepeji del Río,57.571,29/08/2012,35,70,150,150,150,150,150,280,280,405,405,405,405
Jorobas - Tepeji del Río,34.149,29/08/2012,22,45,80,80,80,80,80,155,155,220,220,220,220
Tepeji del Río - Palmillas,57.571,29/08/2012,35,70,140,140,140,140,140,270,270,390,390,390,390
Tepeji del Río - Polotitlán,42.621,29/08/2012,30,60,115,115,115,115,115,230,230,320,320,320,320
Monterrey - Nuevo Laredo,123.1,29/08/2012,102,205,270,270,270,270,270,270,365,365,415,415,415
Agualeguas - Parás,19.4,29/08/2012,15,30,40,40,40,40,40,40,65,65,70,70,70
Monterrey - La Gloria,123.1,29/08/2012,102,205,270,270,270,270,270,270,365,365,415,415,415
Monterrey - Sabinas,77.3,29/08/2012,57,115,150,150,150,150,150,150,200,200,225,225,225
Monterrey - Agualeguas,56.9,29/08/2012,40,80,110,110,110,110,110,110,135,135,155,155,155
Sabinas - La Gloria,45.8,29/08/2012,42,85,120,120,120,120,120,120,165,165,190,190,190
Vallecillos - La Gloria,30.25,04/08/2009,59,59,87,87,87,86,86,86,129,129,134,134,134
Agualeguas - Sabinas,20.4,29/08/2012,15,30,40,40,40,40,40,40,65,65,70,70,70
Monterrey - Saltillo y Libramiento Norponiente de Saltillo,49.8,08/02/2014,71,143,248,248,248,248,248,248,374,374,374,374,374
Zacatecas - Monclova,31.5,08/02/2014,21,42,73,73,73,73,73,73,110,110,110,110,110
Monclova - Ojo Caliente 1,13.8,08/02/2014,9,18,32,32,32,32,32,32,50,50,50,50,50
Monclova - Ojo Caliente 2,22,08/02/2014,16,32,56,56,56,56,56,56,86,86,86,86,86
Ojo Caliente 2 - Morones Prieto,41.6,08/02/2014,34,69,119,119,119,119,119,119,178,178,178,178,178
El Jónuco - Periférico,7.254,08/02/2014,6,12,21,21,21,21,21,21,31,31,31,31,31
El Jónuco - Morones Prieto,20.191,08/02/2014,17,34,57,57,57,57,57,57,84,84,84,84,84
Zacatecas - Torreón,21.5,08/02/2014,14,28,50,50,50,50,50,50,75,75,75,75,75
Torreón - Monclova,10,08/02/2014,7,14,23,23,23,23,23,23,35,35,35,35,35
Ojo Caliente 1 - Ojo Caliente 2,8.2,08/02/2014,7,14,24,24,24,24,24,24,36,36,36,36,36
Ojo Caliente 2 - Periférico,28.7,08/02/2014,23,47,83,83,83,83,83,83,125,125,125,125,125
Periférico - Morones Prieto,12.9,08/02/2014,11,22,36,36,36,36,36,36,53,53,53,53,53
Morelia - Salamanca,83,10/02/2014,81,162,402,402,402,402,402,402,556,556,637,637,637
Copándaro - Valtierrilla - Cerro Gordo,83,10/02/2014,81,162,402,402,402,402,402,402,556,556,637,637,637
Copándaro - Valle de Santiago,58,10/02/2014,61,122,289,289,289,289,289,289,400,400,462,462,462
Copándaro - Uriangato,32,10/02/2014,38,77,177,177,177,177,177,177,246,246,282,282,282
Copándaro - La Cinta,20,10/02/2014,21,42,119,119,119,119,119,119,165,165,190,190,190
Copándaro - Cuitzeo,7,10/02/2014,7,15,38,38,38,45,45,45,56,56,62,62,62
La Cinta - Valle de Santiago,38,10/02/2014,40,80,170,170,170,170,170,170,235,235,272,272,272
La Cinta - Uriangato,12,10/02/2014,17,35,58,58,58,58,58,58,81,81,92,92,92
Uriangato - Valle de Santiago,26,10/02/2014,22,45,112,112,112,112,112,112,154,154,180,180,180
Valle de Santiago - Ent. Cerro Gordo,25,10/02/2014,20,40,113,113,113,113,113,113,156,156,175,175,175
Valtierrilla - Ent. Cerro Gordo,5,10/02/2014,5,10,17,17,17,22,22,22,25,25,28,28,28
La Cinta - Cerro Gordo,38,10/02/2014,60,120,283,283,283,283,283,283,391,391,447,447,447
Uriangato - Cerro Gordo,51,10/02/2014,42,85,225,225,225,225,225,225,310,310,355,355,355
Nueva Italia - Lázaro Cárdenas,151.5,08/02/2014,84,169,341,341,341,337,337,337,505,505,672,672,672
Ent. Nueva Italia - Ent. Las Cañas,57.5,08/02/2014,34,68,136,136,136,135,135,135,202,202,269,269,269
Ent. Las Cañas - Lázaro Cárdenas,99.25,08/02/2014,50,100,205,205,205,202,202,202,303,303,403,403,403
Ent. Las Cañas - Ent. Feliciano,70.5,08/02/2014,34,68,135,135,135,134,134,134,202,202,269,269,269
Ent. Feliciano - Lázaro Cárdenas,28.75,08/02/2014,16,33,69,69,69,68,68,68,102,102,134,134,134
Pátzcuaro - Uruapan,56.5,08/02/2014,28,57,134,134,134,128,128,128,195,195,268,268,268
Pátzcuaro - Zirahuén,20.7,08/02/2014,12,24,46,46,46,43,43,43,73,73,100,100,100
Zirahuén - Uruapan,35.8,08/02/2014,16,33,88,88,88,84,84,84,122,122,167,167,167
Zurumucapío - Uruapan,16.5,08/02/2014,12,24,35,35,35,33,33,33,53,53,72,72,72
Peñón - Texcoco,16.17,23/01/2014,20,40,79,79,79,79,79,79,118,118,158,158,158
Ent. Circuito Exterior Mexiquense,11.87,23/01/2014,15,30,60,60,60,60,60,60,90,90,121,121,121
Perote - Banderilla y Libramiento de Xalapa,59.6,06/01/2014,115,231,241,241,241,359,359,359,445,445,654,654,654
Perote - Banderilla,30,06/01/2014,53,106,111,111,111,122,122,122,143,143,285,285,285
Libramiento de Xalapa,29.6,06/01/2014,62,125,130,130,130,237,237,237,302,302,369,369,369
Puebla - Acatzingo,42.27,29/08/2012,27,55,110,110,110,110,110,200,200,275,275,275,275
Puebla - Ent. Amozoc III,6.879,29/08/2012,5,10,20,20,20,20,20,35,35,45,45,45,45
Puebla - Acatzingo,42.27,29/08/2012,27,55,110,110,110,110,110,200,200,275,275,275,275
Puebla - Amozoc,13.758,29/08/2012,15,30,55,55,55,55,55,100,100,140,140,140,140
Puente Alvarado,0.53,29/08/2012,10,20,37,37,37,37,37,79,79,113,113,113,113
"Puente Int. Reynosa - McAllen ""Anzalduas""",2.558,01/01/2014,17,35,70,70,70,70,70,70,70,70,71,72,73
Puente Cadereyta,0.179,29/08/2012,6,12,15,15,15,15,15,22,22,28,28,28,28
Puente Camargo,0.116,01/01/2014,13,26,50,50,50,50,50,50,50,50,50,50,50
Puente Caracol,0.164,29/08/2012,10,20,37,37,37,37,37,79,79,113,113,113,113
Puente Cd. Acuña,0.129,01/01/2014,13,26,50,50,50,50,50,50,50,50,50,50,50
Puente Coatzacoalcos,0.985,01/07/2011,11,22,38,38,38,38,38,77,77,110,110,110,110
Puente Colorado,0.304,01/01/2014,6,13,25,25,25,25,25,25,58,58,95,95,95
Puente Culiacán,0.433,29/08/2012,10,20,34,34,34,34,34,73,73,105,105,105,105
Puente de Ixtla - Iguala,63.578,29/08/2012,32,65,130,130,130,130,130,130,240,240,330,330,330
Puente Dovalí Jaime,1.268,29/08/2012,8,17,31,31,31,31,31,55,55,85,85,85,85
Puente Dr. Ignacio Chávez,0.488,15/01/2004,11,11,23,23,23,22,22,22,33,33,45,45,45
Puente El Zacatal,3.861,29/08/2012,35,70,140,140,140,140,140,140,225,225,295,295,295
Puente Grijalva,0.254,29/08/2012,10,20,37,37,37,37,37,79,79,113,113,113,113
Puente José López Portillo,0.391,01/11/2013,7,14,28,28,28,28,28,28,56,56,101,101,101
Puente Juárez - Lincoln,0.159,01/01/2014,13,26,55,55,55,55,55,110,110,183,183,183,183
Puente La Piedad,0.092,29/08/2012,6,12,17,17,17,17,17,27,27,42,42,42,42
Isla del Carmen - Isla Aguada,3.222,01/01/2014,18,62,156,218,218,156,218,218,312,312,312,312,312
Puente Laredo I,0.108,01/01/2014,13,26,50,50,50,50,50,50,50,50,50,50,50
Puente Las Flores,0.083,01/01/2014,13,26,50,50,50,50,50,50,50,50,50,50,50
Puente Libre Comercio,0.08,01/01/2014,15,29,61,61,61,61,61,124,124,198,198,198,198
Puente Los Tomates,0.81,01/01/2014,16,32,67,67,67,67,67,67,139,139,218,218,218
Puente Matamoros,0.155,01/01/2014,13,26,50,50,50,50,50,50,50,50,50,50,50
Puente Miguel Alemán,0.155,01/01/2014,13,26,50,50,50,50,50,50,50,50,50,50,50
Puente Nautla,0.214,29/08/2012,10,20,37,37,37,37,37,79,79,113,113,113,113
Puente Nuevo Laredo III,0.298,01/01/2014,15,30,65,65,65,65,65,144,144,214,214,214,214
Puente Ojinaga,0.121,01/01/2014,12,24,45,45,45,45,45,45,45,45,45,45,45
Puente Papaloapan,0.288,29/08/2012,10,20,37,37,37,37,37,79,79,113,113,113,113
Puente Paso del Norte,0.216,01/01/2014,13,26,45,45,45,45,45,45,45,45,45,45,45
Puente Pánuco,0.179,29/08/2012,9,18,35,35,35,35,35,70,70,95,95,95,95
Puente Piedras Negras,0.113,01/01/2014,13,26,50,50,50,50,50,50,50,50,50,50,50
Puente Piedras Negras II,0.102,01/01/2014,13,26,50,50,50,50,50,50,105,105,164,164,164
Puente Reynosa,0.112,01/01/2014,13,26,50,50,50,50,50,50,50,50,50,50,50
Puente Reynosa-Pharr,2.629,01/01/2014,16,32,67,67,67,67,67,67,139,139,218,218,218
Puente Int. Río Bravo - Donna,0.167,01/01/2014,15,30,0,0,0,0,0,0,0,0,0,0,0
Puente Rodolfo Robles,0.189,01/01/2014,7,15,26,26,26,26,26,52,52,75,75,75,75
Puente San Juan,0.175,01/01/2014,7,14,26,26,26,26,26,42,42,60,60,60,60
"Puente Int. San Luis Río Colorado II ""Cucapá""",0.4,20/01/2014,15,30,62,62,62,62,62,62,89,89,117,117,117
Puente San Miguel,0.26,17/03/2014,32,63,102,102,102,102,113,113,160,160,204,204,204
Puente Sinaloa,0.32,29/08/2012,10,20,37,37,37,37,37,79,79,113,113,113,113
Puente Solidaridad,0.16,30/11/2012,13,27,58,58,58,58,58,129,129,191,191,191,191
Puente Suchiate II,0.029,01/01/2014,7,15,26,26,26,26,26,52,52,75,75,75,75
Puente Tampico,1.543,29/08/2012,15,30,65,65,65,65,65,120,120,165,165,165,165
Puente Tecolutla,0.368,29/08/2012,10,20,35,35,35,35,35,75,75,113,113,113,113
Puente Tlacotalpan,0.597,29/08/2012,10,20,37,37,37,37,37,79,79,113,113,113,113
Puente Usumacinta,0.347,29/08/2012,10,20,37,37,37,37,37,79,79,113,113,113,113
Puente Zaragoza - Ysleta,0.155,01/01/2014,13,26,79,79,79,79,79,167,167,265,265,265,265
Puerto México - Ent. La Carbonera,32,29/08/2012,27,55,80,80,80,125,125,125,170,170,210,210,210
Puerto México - Ent. La Carbonera,32,29/08/2012,27,55,80,80,80,125,125,125,170,170,210,210,210
Puerto México - Huachichil,32,29/08/2012,17,35,55,55,55,100,100,100,135,135,170,170,170
Querétaro - Irapuato,103.75,29/08/2012,64,130,260,260,260,260,260,475,475,675,675,675,675
Querétaro - Celaya,44.5,29/08/2012,32,65,125,125,125,125,125,235,235,330,330,330,330
Celaya - Irapuato,59.25,29/08/2012,32,65,135,135,135,135,135,240,240,345,345,345,345
Celaya - Salamanca,37.75,29/08/2012,22,45,95,95,95,95,95,180,180,245,245,245,245
Celaya - Ent. Villagrán,19.95,29/08/2012,12,25,45,45,45,45,45,85,85,125,125,125,125
Celaya - Cerro Gordo,32.75,29/08/2012,17,35,75,75,75,75,75,130,130,185,185,185,185
Cerro Gordo - Salamanca,5,29/08/2012,5,10,25,25,25,25,25,55,55,65,65,65,65
Cerro Gordo - Irapuato,26.75,29/08/2012,15,30,60,60,60,60,60,110,110,165,165,165,165
Salamanca - Irapuato,21.5,29/08/2012,12,25,45,45,45,45,45,70,70,105,105,105,105
Querétaro - Ent. Lib. Surponiente de Qro.,7.11,29/08/2012,3,7,7,7,7,7,7,7,7,7,7,7,7
