Via,Longitud en kilometros,Vigente desde,Motos,Autos,Autobuses 2 ejes,Autobuses 3 ejes,Autobuses 4 ejes,Camiones 2 ejes,Camiones 3 ejes,Camiones 4 ejes,Camiones 5 ejes,Camiones 6 ejes,Camiones 7 ejes,Camiones 8 ejes,Camiones 9 ejes
Cipreses - Lechería,24.343,29/08/2012,17,35,60,60,60,60,60,60,90,90,115,115,115
Cipreses - Lago de Guadalupe,19.394,29/08/2012,15,30,50,50,50,50,50,50,70,70,95,95,95
Cipreses - Atizapán,14.839,29/08/2012,12,25,35,35,35,35,35,35,50,50,70,70,70
Cipreses - Madín,10.637,29/08/2012,7,15,25,25,25,25,25,25,35,35,50,50,50
Cipreses - San Mateo Nopala,3.037,29/08/2012,2,5,10,10,10,10,10,10,15,15,20,20,20
San Mateo Nopala - Lechería,21.306,29/08/2012,17,35,60,60,60,60,60,60,85,85,110,110,110
San Mateo Nopala - Lago de Guadalupe,16.357,29/08/2012,12,25,40,40,40,40,40,40,60,60,80,80,80
San Mateo Nopala - Atizapán,11.802,29/08/2012,10,20,30,30,30,30,30,30,40,40,60,60,60
San Mateo Nopala - Madín,7.6,29/08/2012,7,15,20,20,20,20,20,20,25,25,35,35,35
Madín - Lechería,13.706,29/08/2012,10,20,35,35,35,35,35,35,50,50,65,65,65
Madín - Atizapán,4.202,29/08/2012,2,5,10,10,10,10,10,10,15,15,20,20,20
Madín - Lago de Guadalupe,8.757,29/08/2012,7,15,25,25,25,25,25,25,35,35,45,45,45
Atizapán - Lechería,9.504,29/08/2012,7,15,25,25,25,25,25,25,35,35,50,50,50
Atizapán - Lago de Guadalupe,4.555,29/08/2012,2,5,15,15,15,15,15,15,20,20,25,25,25
Lago de Guadalupe - Lechería,4.949,29/08/2012,2,5,10,10,10,10,10,10,20,20,25,25,25
Lomas Verdes - Lecheria,20.977,29/08/2012,17,35,60,60,60,60,60,60,85,85,110,110,110
Lomas Verdes - Lago de Guadalupe,16.028,29/08/2012,12,25,40,40,40,40,40,40,60,60,80,80,80
Lomas Verdes - Atizapán,11.473,29/08/2012,10,20,30,30,30,30,30,30,45,45,60,60,60
Lomas Verdes - Madín,7.271,29/08/2012,5,10,20,20,20,20,20,20,30,30,40,40,40
Lomas Verdes - San Mateo Nopala,8.283,29/08/2012,7,15,25,25,25,25,25,25,35,35,45,45,45
Lomas Verdes - Cipreses,11.32,29/08/2012,10,20,30,30,30,30,30,30,45,45,60,60,60
Lomas Verdes - Chamapa,14.322,29/08/2012,12,25,40,40,40,40,40,40,60,60,80,80,80
Champotón - Campeche,39.5,29/08/2012,30,60,90,90,90,90,90,90,155,155,195,195,195
Villa Madero - Campeche,39.5,29/08/2012,30,60,90,90,90,90,90,90,155,155,195,195,195
Villa Madero - Seybaplaya,15,29/08/2012,12,25,30,30,30,30,30,30,55,55,65,65,65
Seybaplaya - Campeche,24.5,29/08/2012,17,35,60,60,60,60,60,60,100,100,130,130,130
Chapalilla - Compostela,35.5,29/08/2012,17,35,70,70,70,70,70,135,135,185,185,185,185
Córdoba - Veracruz,98,29/08/2012,82,165,240,240,240,235,235,235,315,315,350,350,350
Córdoba - La Tinaja,45,29/08/2012,42,85,115,115,115,110,110,110,155,155,165,165,165
Córdoba - Cuitláhuac,14.14,29/08/2012,15,30,35,35,35,35,35,35,50,50,55,55,55
Cuitláhuac - La Tinaja,30.86,29/08/2012,27,55,80,80,80,75,75,75,105,105,110,110,110
