Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,961.00,961.00,0.00,9227.00,9.60,5908.60,54518652.20
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,1319.00,1319.00,0.00,34740.20,26.34,147.50,5124179.50
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5510000,Avena grano,70.00,70.00,0.00,140.00,2.00,2120.00,296800.00
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,227.00,227.00,0.00,2051.40,9.04,1799.40,3691289.16
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,68.00,68.00,0.00,1175.10,17.28,1304.70,1533152.97
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,33.00,33.00,0.00,162.00,4.91,1612.10,261160.20
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,15.00,15.00,0.00,75.00,5.00,1320.00,99000.00
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),114.00,114.00,0.00,3943.20,34.59,509.00,2007088.80
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,115.00,115.00,0.00,1369.20,11.91,1540.70,2109526.44
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,27.00,27.00,0.00,365.00,13.52,2000.00,730000.00
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7100000,Haba grano,2.00,2.00,0.00,4.00,2.00,12000.00,48000.00
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,102.00,102.00,0.00,1845.50,18.09,575.70,1062454.35
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,5.00,5.00,0.00,38.00,7.60,980.00,37240.00
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,225.00,225.00,0.00,671.00,2.98,1900.00,1274900.00
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,35.00,35.00,0.00,414.30,11.84,839.00,347597.70
1996,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1989.00,1989.00,0.00,113224.00,56.93,155.60,17617654.40
