Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,614.00,612.00,2.00,5468.22,8.94,5369.00,29358873.18
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,3263.00,3263.00,0.00,82553.90,25.30,242.00,19978043.80
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,149.00,149.00,0.00,1668.95,11.20,2203.00,3676696.85
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,33.00,33.00,0.00,554.00,16.79,1586.00,878644.00
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,14.00,14.00,0.00,63.99,4.57,2219.00,141993.81
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,47.00,47.00,0.00,658.00,14.00,1008.00,663264.00
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),90.00,90.00,0.00,3420.00,38.00,2091.00,7151220.00
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,60.00,60.00,0.00,805.00,13.42,1834.00,1476370.00
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,39.00,39.00,0.00,761.01,19.51,2100.00,1598121.00
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,149.00,149.00,0.00,2578.00,17.30,1640.00,4227920.00
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,10.00,10.00,0.00,21.00,2.10,1350.00,28350.00
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,110.00,110.00,0.00,1958.00,17.80,1200.00,2349600.00
1999,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1234.00,1234.00,0.00,70338.00,57.00,285.00,20046330.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,17.00,17.00,0.00,385.00,22.65,300.00,115500.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,127.00,127.00,0.00,1460.80,11.50,2382.00,3479625.60
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5690000,Cacahuate,2.00,2.00,0.00,2.40,1.20,4655.00,11172.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,194.00,194.00,0.00,3489.80,17.99,1987.00,6934232.60
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5760000,Calabaza,9.00,9.00,0.00,24.00,2.67,1948.20,46756.80
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,26.00,26.00,0.00,433.00,16.65,1136.00,491888.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,1.00,1.00,0.00,25.00,25.00,480.60,12015.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,123.00,123.00,0.00,3122.00,25.38,1644.00,5132568.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,22.00,22.00,0.00,115.80,5.26,3050.30,353224.74
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6110000,Chile seco,1676.00,1676.00,0.00,2956.00,1.76,31681.00,93649036.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,397.00,397.00,0.00,2923.70,7.36,3364.82,9837724.23
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,24.00,24.00,0.00,224.30,9.35,1260.00,282618.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),86.00,86.00,0.00,3388.00,39.40,1180.00,3997840.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,47.00,47.00,0.00,584.60,12.44,1860.00,1087356.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,24.00,24.00,0.00,178.80,7.45,2420.00,432696.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,110.00,110.00,0.00,1739.10,15.81,650.00,1130415.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6670000,Espinaca,7.00,7.00,0.00,130.00,18.57,2050.00,266500.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,1950.00,1950.00,0.00,3809.20,1.95,5620.00,21407704.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7110000,Haba verde,1.00,1.00,0.00,1.50,1.50,5986.00,8979.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,96.00,96.00,0.00,1867.00,19.45,1968.00,3674256.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,9829.00,9829.00,0.00,443930.60,45.17,247.00,109650858.20
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,6830.00,6757.00,73.00,33480.00,4.95,1440.00,48211200.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,443.00,443.00,0.00,9215.80,20.80,2986.00,27518378.80
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,22.00,22.00,0.00,640.00,29.09,1740.00,1113600.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,1.00,1.00,0.00,5.50,5.50,1586.00,8723.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,5.00,3.00,2.00,90.00,30.00,1200.00,108000.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,224.00,224.00,0.00,9414.00,42.03,206.00,1939284.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,350.00,350.00,0.00,2119.00,6.05,1271.00,2693249.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),514.00,514.00,0.00,14434.00,28.08,2382.00,34381788.00
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,733.00,733.00,0.00,13014.70,17.76,2012.00,26185576.40
1999,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,9270000,Zanahoria,37.00,32.00,5.00,567.00,17.72,2063.00,1169721.00
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5490000,Avena forrajera en verde,236.00,121.00,115.00,795.00,6.57,290.00,230550.00
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5690000,Cacahuate,13.00,13.00,0.00,11.70,0.90,4248.00,49701.60
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5920000,Cebada grano,70.00,25.00,45.00,19.00,0.76,1544.00,29336.00
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,16837.00,2530.00,14307.00,669.00,0.26,4978.00,3330282.00
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,25530.00,17234.00,8296.00,62002.00,3.60,260.00,16120520.00
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,65544.00,11103.00,54441.00,4177.00,0.38,1410.00,5889570.00
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,680.00,665.00,15.00,8208.00,12.34,310.00,2544480.00
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,60.00,38.00,22.00,10.00,0.26,1313.00,13130.00
1999,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,9050000,Trigo grano,95.00,20.00,75.00,13.80,0.69,1415.00,19527.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,2.00,2.00,0.00,6.00,3.00,4500.00,27000.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,7208.00,7208.00,0.00,674644.20,93.60,364.00,245570488.80
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,7.00,7.00,0.00,39.00,5.57,5000.00,195000.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6220000,Ciruela,6.00,6.00,0.00,30.00,5.00,4400.00,132000.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,338.00,338.00,0.00,2737.60,8.10,6020.00,16480352.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,6.00,6.00,0.00,48.00,8.00,6048.00,290304.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6820000,Fresa,41.00,41.00,0.00,364.80,8.90,3300.00,1203840.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7060000,Guayaba,6006.00,6006.00,0.00,87953.60,14.64,4355.70,383099495.52
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7380000,Lima,9.00,9.00,0.00,84.00,9.33,4410.00,370440.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7390000,Limón,4.00,4.00,0.00,45.00,11.25,2500.00,112500.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7580000,Manzana,8.00,8.00,0.00,49.00,6.13,4050.00,198450.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,8.00,8.00,0.00,56.00,7.00,2500.00,140000.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,2.00,2.00,0.00,16.00,8.00,1500.00,24000.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7910000,Nopal forrajero,11.00,11.00,0.00,336.00,30.55,470.00,157920.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7920000,Nopalitos,223.00,223.00,0.00,4723.00,21.18,1753.50,8281780.50
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,144.00,144.00,0.00,187.20,1.30,20500.00,3837600.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,8260000,Persimonio,1.00,1.00,0.00,5.00,5.00,20000.00,100000.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,9120000,Tuna,15.00,15.00,0.00,15.00,1.00,2500.00,37500.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,592.00,592.00,0.00,6653.50,11.24,3260.00,21690410.00
1999,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1454.00,1454.00,0.00,123454.90,84.91,312.00,38517928.80
1999,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,7910000,Nopal forrajero,724.00,724.00,0.00,12795.00,17.67,860.00,11003700.00
1999,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,9120000,Tuna,1505.00,0.00,0.00,0.00,0.00,0.00,0.00
1999,1,Aguascalientes,3,Perennes,2,Temporal,200204,Miles de lts.,7450000,Maguey pulquero,235.00,235.00,0.00,11970.00,50.94,598.54,7164476.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,16.00,16.00,0.00,136.00,8.50,1857.06,252560.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,609.00,605.00,4.00,4632.00,7.66,9434.18,43699125.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5130000,Alcachofa,121.00,99.00,22.00,2053.00,20.74,5037.73,10342459.69
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5370000,Apio,600.00,522.00,78.00,10837.00,20.76,4186.73,45371585.44
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5380000,Semilla de apio,15.00,15.00,0.00,7.50,0.50,9600.00,72000.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,773.00,755.00,18.00,16498.00,21.85,601.67,9926299.82
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,84.00,84.00,0.00,2430.00,28.93,4804.39,11674678.50
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5660000,Boi choi,1.00,1.00,0.00,6.00,6.00,3222.20,19333.20
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,750.00,745.00,5.00,9434.00,12.66,4060.50,38306721.30
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5680000,Semilla de brócoli,30.00,30.00,0.00,6.00,0.20,31300.00,187800.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5690000,Cacahuate,10.00,0.00,10.00,0.00,0.00,0.00,0.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,275.00,160.00,115.00,2110.00,13.19,4111.35,8674946.86
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5870000,Cártamo,5040.00,4972.00,68.00,11098.00,2.23,2300.00,25525400.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,151.00,151.00,0.00,2024.90,13.41,390.00,789711.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,907.00,907.00,0.00,3069.00,3.38,1330.05,4081920.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,4963.00,4955.00,8.00,71734.00,14.48,4675.72,335408288.52
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,366.00,362.00,4.00,2751.00,7.60,7782.47,21409571.09
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,3.00,3.00,0.00,27.00,9.00,3700.00,99900.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,627.00,625.00,2.00,3784.00,6.05,4241.80,16050972.90
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),234.00,234.00,0.00,6039.00,25.81,1987.78,12004225.10
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,149.00,149.00,0.00,3411.00,22.89,5411.16,18457466.76
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,68.00,68.00,0.00,938.00,13.79,3698.70,3469380.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6340000,Semilla de coliflor,25.00,25.00,0.00,10.00,0.40,13068.00,130680.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6600000,Ejote,56.00,56.00,0.00,406.00,7.25,5681.10,2306526.60
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,114.00,114.00,0.00,815.00,7.15,5177.21,4219427.02
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6750000,Flores,28.00,22.00,6.00,132.00,6.00,4840.90,638998.80
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6790000,Semilla de flores,46.00,46.00,0.00,18.40,0.40,12116.00,222934.40
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6820000,Fresa,634.00,566.00,68.00,32922.00,58.17,6170.20,203135324.40
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6880000,Gai lan (kay laan),45.00,45.00,0.00,495.00,11.00,2750.00,1361250.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7110000,Haba verde,91.00,90.00,1.00,1119.00,12.43,3524.59,3944016.21
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7270000,Kale,24.00,24.00,0.00,240.00,10.00,3750.00,900000.00
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7320000,Kohlrabi,35.00,35.00,0.00,592.00,16.91,2803.20,1659494.40
1999,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,1325.00,1325.00,0.00,30351.00,22.91,3483.16,105717315.00
