Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,648.00,648.00,0.00,6171.00,9.52,9.80,60445.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5270000,Alpiste,3.00,3.00,0.00,2.00,0.67,11.50,23.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,1035.00,1035.00,0.00,24290.00,23.47,0.67,16371.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,194.00,53.00,141.00,212.00,4.00,4.00,848.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,32.00,32.00,0.00,530.00,16.56,0.54,284.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,119.00,119.00,0.00,1503.00,12.63,4.00,6012.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,5.00,5.00,0.00,10.00,2.00,6.40,64.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),228.00,228.00,0.00,6629.00,29.07,2.31,15326.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,99.00,99.00,0.00,1701.00,17.18,5.75,9781.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7100000,Haba grano,7.00,7.00,0.00,11.00,1.57,40.73,448.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,4.00,4.00,0.00,17.00,4.25,5.12,87.00
1981,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,165.00,165.00,0.00,584.00,3.54,4.49,2625.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5270000,Alpiste,19.00,19.00,0.00,18.00,0.95,9.89,178.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,69.00,64.00,5.00,1491.00,23.30,0.67,992.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,40.00,40.00,0.00,1000.00,25.00,8.00,8000.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,38.00,38.00,0.00,633.00,16.66,5.26,3331.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,10.00,10.00,0.00,150.00,15.00,8.00,1200.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,5.00,5.00,0.00,125.00,25.00,0.46,58.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,48.00,48.00,0.00,904.00,18.83,4.52,4086.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,3222.00,2667.00,555.00,18302.00,6.86,9.06,165872.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,3.00,3.00,0.00,6.00,2.00,17.00,102.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),99.00,99.00,0.00,2518.00,25.43,3.53,8878.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,157.00,157.00,0.00,3146.00,20.04,6.90,21717.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,10.00,10.00,0.00,40.00,4.00,8.00,320.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,28.00,23.00,5.00,176.00,7.65,5.56,978.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,10848.00,9822.00,1026.00,14744.00,1.50,13.56,199929.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6940000,Girasol,70.00,70.00,0.00,140.00,2.00,12.20,1708.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,9.00,9.00,0.00,153.00,17.00,1.66,254.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,3940.00,3940.00,0.00,140704.00,35.71,0.58,81083.00
1981,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,9110.00,8441.00,669.00,27443.00,3.25,6.38,175169.00
