Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1040.00,1040.00,0.00,8541.00,8.21,2969.94,25366292.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5270000,Alpiste,41.00,29.00,12.00,58.00,2.00,1000.00,58000.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,2652.00,2652.00,0.00,71623.00,27.01,63.78,4567757.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,110.00,110.00,0.00,1034.00,9.40,716.57,740929.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,5.00,5.00,0.00,43.00,8.60,400.00,17200.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,15.00,15.00,0.00,345.00,23.00,60.00,20700.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,64.00,64.00,0.00,226.00,3.53,401.25,90683.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,45.00,45.00,0.00,793.00,17.62,273.49,216880.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,12.00,12.00,0.00,30.00,2.50,1154.67,34640.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,10.00,10.00,0.00,36.00,3.60,1030.56,37100.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),97.00,97.00,0.00,3752.00,38.68,148.81,558350.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,65.00,65.00,0.00,975.00,15.00,700.00,682500.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,90.00,90.00,0.00,1096.00,12.18,630.61,691150.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6540000,Ebo (janamargo o veza),2.00,2.00,0.00,60.00,30.00,600.00,36000.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,60.00,60.00,0.00,900.00,15.00,700.00,630000.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,129.00,129.00,0.00,2004.00,15.53,214.87,430599.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,4.00,4.00,0.00,25.00,6.25,750.00,18750.00
1990,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,45.00,45.00,0.00,488.00,10.84,578.32,282220.00
1990,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5270000,Alpiste,10.00,0.00,10.00,0.00,0.00,0.00,0.00
