Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1031.00,1031.00,0.00,8926.00,8.66,7.00,62482.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,715.00,711.00,4.00,10757.00,15.13,0.56,5981.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,30.00,30.00,0.00,200.00,6.67,4.00,800.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,9.00,9.00,0.00,45.00,5.00,4.00,180.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,17.00,17.00,0.00,223.00,13.12,0.55,123.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,4.00,4.00,0.00,6.00,1.50,6.00,36.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,72.00,72.00,0.00,824.00,11.44,5.49,4520.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,8.00,8.00,0.00,25.00,3.13,5.16,129.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),133.00,133.00,0.00,2019.00,15.18,0.94,1906.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,100.00,100.00,0.00,890.00,8.90,5.50,4895.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,106.00,106.00,0.00,946.00,8.92,5.59,5287.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,5.00,0.00,5.00,0.00,0.00,0.00,0.00
1980,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,9.00,9.00,0.00,14.00,1.56,5.79,81.00
1980,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,122.00,122.00,0.00,1673.00,13.71,0.63,1062.00
1980,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,240.00,240.00,0.00,2123.00,8.85,6.37,13534.00
1980,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,244.00,244.00,0.00,3634.00,14.89,3.40,12356.00
1980,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,3.00,3.00,0.00,22.00,7.33,5.00,110.00
