Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1576.00,1576.00,0.00,12540.00,7.96,3645.73,45717504.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,3026.00,2999.00,27.00,74407.00,24.81,84.53,6289326.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,182.00,182.00,0.00,1469.00,8.07,1636.35,2403800.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,41.00,13.00,28.00,113.00,8.69,900.00,101700.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,18.00,8.00,10.00,120.00,15.00,70.00,8400.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,60.00,60.00,0.00,150.00,2.50,700.00,105000.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,63.00,63.00,0.00,869.00,13.79,617.12,536277.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,21.00,18.00,3.00,68.00,3.78,1754.41,119300.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,8.00,8.00,0.00,46.00,5.75,965.22,44400.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),129.00,129.00,0.00,5145.00,39.88,278.87,1434779.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,129.00,129.00,0.00,1543.00,11.96,1034.09,1595601.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6540000,Ebo (janamargo o veza),7.00,7.00,0.00,19.00,2.71,80.00,1520.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,60.00,60.00,0.00,780.00,13.00,1200.00,936000.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,150.00,134.00,16.00,1857.00,13.86,464.30,862200.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8210000,Pepino,14.00,4.00,10.00,77.00,19.25,600.00,46200.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,4.00,4.00,0.00,16.00,4.00,450.00,7200.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,3.00,3.00,0.00,9.00,3.00,566.67,5100.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,72.00,72.00,0.00,1103.00,15.32,721.00,795263.00
1992,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1240.00,1240.00,0.00,55494.00,44.75,84.64,4697234.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,202.00,202.00,0.00,5283.00,26.15,167.51,884976.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5640000,Betabel,1.00,1.00,0.00,14.00,14.00,500.00,7000.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,318.00,318.00,0.00,2865.00,9.01,957.77,2744000.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,90.00,89.00,1.00,1312.00,14.74,625.85,821117.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,10.00,10.00,0.00,160.00,16.00,500.00,80000.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,145.00,144.00,1.00,2525.00,17.53,598.34,1510821.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,49.00,49.00,0.00,245.00,5.00,1633.88,400300.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,2363.00,2315.00,48.00,15263.00,6.59,1295.67,19775759.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,6.00,6.00,0.00,31.00,5.17,885.71,27457.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),96.00,95.00,1.00,4551.00,47.91,316.54,1440555.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,242.00,240.00,2.00,2512.00,10.47,1141.57,2867619.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,127.00,127.00,0.00,887.00,6.98,955.07,847150.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,362.00,318.00,44.00,4722.00,14.85,480.09,2266999.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,2826.00,2725.00,101.00,4173.00,1.53,2503.22,10445950.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,93.00,92.00,1.00,1260.00,13.70,460.29,579965.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,9524.00,9524.00,0.00,446981.00,46.93,90.44,40423174.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,14636.00,14344.00,292.00,63321.00,4.41,721.69,45698386.00
1992,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,927.00,924.00,3.00,21426.00,23.19,470.24,10075384.00
