Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,750.00,750.00,0.00,6104.00,8.14,5000.00,30520000.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,3266.00,3146.00,120.00,55918.00,17.77,218.99,12245482.82
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,159.00,139.00,20.00,1188.00,8.55,2119.81,2518334.28
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,5.00,0.00,5.00,0.00,0.00,0.00,0.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,2.00,2.00,0.00,40.00,20.00,250.00,10000.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,12.00,12.00,0.00,48.00,4.00,1500.00,72000.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,53.00,53.00,0.00,916.00,17.28,6000.00,5496000.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,2.00,2.00,0.00,10.00,5.00,2000.00,20000.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,12.00,12.00,0.00,54.00,4.50,1800.00,97200.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),81.00,78.00,3.00,3378.00,43.31,690.00,2330820.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,149.00,93.00,56.00,1103.00,11.86,1800.00,1985400.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6540000,Ebo (janamargo o veza),7.00,7.00,0.00,56.00,8.00,420.00,23520.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,42.00,42.00,0.00,504.00,12.00,1900.00,957600.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,87.00,40.00,47.00,624.00,15.60,1200.00,748800.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,2.00,2.00,0.00,14.00,7.00,1600.00,22400.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,15.00,15.00,0.00,33.00,2.20,1800.00,59400.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,37.00,37.00,0.00,444.00,12.00,700.00,310800.00
1998,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1110.00,1110.00,0.00,54390.00,49.00,197.52,10743112.80
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,10.00,10.00,0.00,278.00,27.80,195.00,54210.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,99.00,99.00,0.00,1091.00,11.02,2337.00,2549667.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,129.00,129.00,0.00,2339.00,18.13,1703.00,3983317.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,16.00,16.00,0.00,295.00,18.44,2500.00,737500.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,12.00,12.00,0.00,307.00,25.58,190.00,58330.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,61.00,61.00,0.00,1102.00,18.07,1844.00,2032088.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,13.00,13.00,0.00,69.00,5.31,2720.00,187680.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,1588.00,1588.00,0.00,12446.00,7.84,5347.82,66558996.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),110.00,110.00,0.00,5127.00,46.61,1250.00,6408750.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,48.00,48.00,0.00,563.00,11.73,2799.00,1575837.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,32.00,32.00,0.00,234.00,7.31,2863.00,669942.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,315.00,315.00,0.00,5309.00,16.85,729.00,3870261.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,2447.00,2447.00,0.00,4788.78,1.96,5455.00,26122794.90
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,139.00,139.00,0.00,2526.00,18.17,1988.00,5021688.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,10518.00,10518.00,0.00,483203.00,45.94,225.00,108720675.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,13171.00,11195.00,1976.00,65077.00,5.81,1399.00,91042723.00
1998,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,337.00,337.00,0.00,8369.00,24.83,3206.00,26831014.00
