Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,4281.00,4274.00,7.00,21142.00,4.95,1558.91,32958475.22,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,134.00,134.00,0.00,3765.00,28.10,3195.75,12031998.75,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,35.00,35.00,0.00,812.00,23.20,955.30,775703.60,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,3.00,3.00,0.00,22.50,7.50,1200.00,27000.00,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,1.00,1.00,0.00,20.00,20.00,850.00,17000.00,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,444.00,444.00,0.00,23024.00,51.86,252.15,5805501.60,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,43.00,43.00,0.00,314.00,7.30,1474.52,462999.28,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),298.00,289.00,9.00,6904.00,23.89,2382.66,16449884.64,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,427.00,427.00,0.00,7882.00,18.46,2785.80,21957675.60,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,9270000,Zanahoria,74.00,74.00,0.00,1196.00,16.16,1727.76,2066400.96,
2001,1,Aguascalientes,2,Primavera-Verano,1,Riego,200206,Planta,6830000,Fresa,15.00,15.00,0.00,1125000.00,75000.00,0.60,675000.00,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5490000,Avena forrajera en verde,543.00,324.00,219.00,1871.80,5.78,237.00,443616.60,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5690000,Cacahuate,5.00,5.00,0.00,5.00,1.00,9000.00,45000.00,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,5900000,Cebada forrajera en verde,20.00,20.00,0.00,120.00,6.00,200.00,24000.00,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,12586.50,10352.50,2234.00,3463.80,0.33,5289.38,18321354.44,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,32499.50,29384.00,3115.50,315118.10,10.72,239.00,75313225.90,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,48890.50,38155.50,10735.00,21800.00,0.57,1334.40,29089920.00,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,824.50,784.00,40.50,9466.80,12.08,385.71,3651439.43,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,30.00,25.00,5.00,10.00,0.40,1300.00,13000.00,
2001,1,Aguascalientes,2,Primavera-Verano,2,Temporal,200201,Tonelada,9050000,Trigo grano,66.00,65.00,1.00,52.00,0.80,1800.00,93600.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5050000,Agave,20.00,0.00,0.00,0.00,0.00,0.00,0.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,6.00,6.00,0.00,18.00,3.00,5555.60,100000.80,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,7831.00,7381.00,0.00,687994.00,93.21,282.65,194461504.10,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,5.00,5.00,0.00,23.50,4.70,7255.30,170499.55,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6220000,Ciruela,6.00,6.00,0.00,20.00,3.33,8600.00,172000.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,472.00,234.00,0.00,2549.00,10.89,4895.00,12477355.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,7.00,7.00,0.00,66.00,9.43,3700.00,244200.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,6820000,Fresa,8.00,8.00,0.00,20.00,2.50,4851.50,97030.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7010000,Granada,3.00,3.00,0.00,18.00,6.00,5000.00,90000.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7060000,Guayaba,6875.00,6563.00,0.00,100151.30,15.26,3299.00,330399138.70,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7380000,Lima,16.00,16.00,0.00,112.00,7.00,2500.00,280000.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7390000,Limón,4.00,1.00,0.00,3.00,3.00,1200.00,3600.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7580000,Manzana,22.00,22.00,0.00,163.00,7.41,3089.00,503507.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,9.00,9.00,0.00,45.00,5.00,3556.00,160020.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,6.00,6.00,0.00,45.00,7.50,1200.00,54000.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7910000,Nopal forrajero,7.00,0.00,0.00,0.00,0.00,0.00,0.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7920000,Nopalitos,254.00,230.00,0.00,13178.00,57.30,1339.76,17655357.28,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,151.00,145.00,0.00,194.60,1.34,10390.50,2021991.30,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,8260000,Persimonio,3.00,3.00,0.00,15.00,5.00,14000.00,210000.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,8330000,Pistache,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,9120000,Tuna,15.00,15.00,0.00,120.00,8.00,1350.00,162000.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,1164.00,790.00,0.00,10943.40,13.85,5000.00,54717000.00,
2001,1,Aguascalientes,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,1430.00,965.00,0.00,82411.00,85.40,249.80,20586267.80,
2001,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,5050000,Agave,188.00,0.00,0.00,0.00,0.00,0.00,0.00,
2001,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,7910000,Nopal forrajero,781.00,471.00,0.00,9940.00,21.10,245.27,2437983.80,
2001,1,Aguascalientes,3,Perennes,2,Temporal,200201,Tonelada,9120000,Tuna,759.00,560.00,0.00,1905.00,3.40,929.00,1769745.00,
2001,1,Aguascalientes,3,Perennes,2,Temporal,200204,Miles de lts.,7450000,Maguey pulquero,235.00,48.00,0.00,2800.00,58.33,1600.00,4480000.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5010000,Acelga,16.00,15.00,1.00,137.50,9.17,1157.27,159125.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,459.00,459.00,0.00,3684.10,8.03,7130.69,26270174.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5130000,Alcachofa,99.00,99.00,0.00,4104.54,41.46,3700.00,15186798.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5350000,Anís,6.00,6.00,0.00,3.00,0.50,3250.00,9750.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5370000,Apio,274.00,274.00,0.00,5457.04,19.92,3736.01,20387544.60,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5380000,Semilla de apio,18.00,18.00,0.00,9.00,0.50,114250.00,1028250.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5480000,Avena forrajera achicalada,168.00,168.00,0.00,796.72,4.74,1284.69,1023538.22,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,1108.00,1108.00,0.00,24321.00,21.95,750.00,18240750.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5560000,Baby back choi,5.00,5.00,0.00,5.00,1.00,3000.00,15000.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5640000,Betabel,64.00,64.00,0.00,1342.64,20.98,5303.43,7120598.51,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5660000,Boi choi,7.00,7.00,0.00,43.00,6.14,4300.00,184900.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,759.00,759.00,0.00,12312.81,16.22,9561.27,117726088.35,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5680000,Semilla de brócoli,31.00,31.00,0.00,6.20,0.20,81296.00,504035.20,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,266.00,261.00,5.00,3218.31,12.33,4342.70,13976170.05,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5870000,Cártamo,1462.00,1344.01,117.99,2630.01,1.96,1622.39,4266901.92,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,216.00,216.00,0.00,2022.52,9.36,331.68,670829.43,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,1925.00,1867.01,57.99,7096.00,3.80,1105.53,7844857.43,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,5142.00,5080.00,62.00,74299.51,14.63,5088.13,378045353.19,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,249.00,248.00,1.00,1838.09,7.41,4487.15,8247792.14,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,38.00,38.00,0.00,228.00,6.00,4400.00,1003200.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,1042.00,1039.00,3.00,5862.57,5.64,4151.33,24337443.09,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),159.00,159.00,0.00,4086.66,25.70,2379.07,9722439.83,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,436.00,436.00,0.00,6708.00,15.39,9677.10,64913986.80,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,15.00,15.00,0.00,351.00,23.40,4130.00,1449630.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6340000,Semilla de coliflor,50.00,50.00,0.00,15.00,0.30,112500.00,1687500.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6600000,Ejote,15.00,15.00,0.00,103.50,6.90,2613.40,270486.90,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6670000,Espinaca,195.00,195.00,0.00,1636.00,8.39,5251.34,8591200.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6750000,Flores,23.00,23.00,0.00,203.55,8.85,8137.07,1656300.60,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6820000,Fresa,662.00,662.00,0.00,31617.88,47.76,12992.19,410785504.36,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,6900000,Garbanzo grano,6.00,0.00,6.00,0.00,0.00,0.00,0.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7110000,Haba verde,132.00,131.00,1.00,1573.80,12.01,5271.01,8295515.54,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7270000,Kale,87.00,87.00,0.00,636.00,7.31,3819.56,2429240.10,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7320000,Kohlrabi,32.00,32.00,0.00,310.00,9.69,4750.00,1472500.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,1267.00,1267.00,0.00,30173.18,23.81,4672.87,140995334.50,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maíz grano,24.00,24.00,0.00,72.00,3.00,1500.00,108000.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7760000,Mostaza,8.00,8.00,0.00,19.00,2.38,7100.00,134900.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7780000,Nabo,8.00,8.00,0.00,72.00,9.00,4260.00,306720.00,
2001,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,7840000,Napa,19.00,19.00,0.00,310.00,16.32,2398.39,743500.00,
