Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1064.00,1064.00,0.00,10629.00,9.99,41.45,440540.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5270000,Alpiste,106.00,106.00,0.00,105.00,0.99,41.80,4389.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,1830.00,1818.00,12.00,40323.00,22.18,2.00,80565.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,27.00,27.00,0.00,254.00,9.41,21.84,5548.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,3.00,1.00,2.00,30.00,30.00,12.00,360.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,58.00,58.00,0.00,1740.00,30.00,2.00,3480.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5920000,Cebada grano,72.00,72.00,0.00,122.00,1.69,25.00,3050.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,3.00,3.00,0.00,32.00,10.67,37.50,1200.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,3.00,3.00,0.00,23.00,7.67,12.52,288.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),135.00,135.00,0.00,3610.00,26.74,9.74,35161.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,102.00,102.00,0.00,1326.00,13.00,18.00,23868.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6330000,Coliflor,125.00,125.00,0.00,1263.00,10.10,25.35,32013.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,11.00,11.00,0.00,198.00,18.00,5.00,990.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,10.00,10.00,0.00,150.00,15.00,2.00,300.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,65.00,65.00,0.00,260.00,4.00,20.00,5200.00
1984,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9270000,Zanahoria,14.00,14.00,0.00,560.00,40.00,12.00,6720.00
1984,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5270000,Alpiste,30.00,28.00,2.00,27.00,0.96,74.37,2008.00
