"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"71","06001",,,,,,,,6.5,,,,,,40,451,,,,,271.5,29.5,,,,,,,
"72","06002",,,716,,,,,,,,,,,,112,,32,,,446,362,,22.75,,,,,
"73","06003",,295,,,,,,,,,,,,,,,5,,,,230.5,,130,,,,,14
"74","06004",,4,833,,,,,50,,,,,,,165,,60,,,207,180,,24.88,,,,,
"75","06005",,194.25,1533,,,,,,1,,,,,,1,,7,,,27,221.5,,38,,,,,107
"76","06006",,,,,,,,,,,,,,,19.5,,41,,,532,25,,,,,,,
"77","06007",1.4,77.64,,,,,,287,,,4,,,,1940.3,,7,,,323,20,,34,,,,,
"78","06008",,183,,,,,,,,,,,,,,,8,,,,,,,,,,,15
"79","06009",,,195,,,,,5,,,,,,,1155.3,,94,,,1438.97,95,,57.5,15,,,,
"80","06010",,10,,,,,,,,,,,,,30,,80,,,17.5,246.5,,36.7,,,,,
"81","07001",,53,45,,257.7,,,,,,54.5,,,,1307.17,,,,410.5,,14,,,,,,,
"82","07002",,20,,,,,,,,,121,,,,165,,,,,83,457,,,,,,,
"83","07003",,,26,,715,,,,,,28,,,,3425.5,,,,10858.5,455,70.5,,,,,,,
"84","07004",,7,,,,,,,,,1391,,,,,,21,,,,,,,,,,,
"85","07005",,,274,,,,,,,,1572,,,,,,,,,,,,,,,,,
"86","07006",,123,,,,,,,,,156,,,,,50,,,,,,,,,,,,
"87","07007",,113.5,,,,,,,,,412,,,,,5,9,,,,,,,,,,,
"88","07008",,,,,,,,,,,1470,,,,,,,,,,,,,,,,,
"89","07009",,,,,,,,,,,,,,,,,,,,,1440,,,,,,,
"90","07010",,111,,,,,,,,,108,,,,,54.5,,,,,,,,,,,,
"91","07011",,215,,,,,,,,,429,,,,,27.5,,,,,,,,,,,,
"92","07013",,,,,,,,,,,458,,,,,,,,,,,,,,,,,
"93","07014",,,,,,,,,,,448,,,,,,,,,,,,,,,,,
"94","07016",,,,,,,,,,,220,,,,,,50,,755.7,,1800,,,,,,,
"95","07017",,,,,,,,8.5,,,882,,,,21,,,,,8.5,2969,,65,,,,,
"96","07018",,,,,,,,,,,387,,,,,,10,,,,,,,,,,,
"97","07019",,125,,,,,,8.5,,,2280,,,,,,,,,,,,78,,,,,
"98","07020",,,,,,,,,,,1770,,,,145,,11,,,140,105,,,,,,,
"99","07021",,,,,,,,,,,524,,,,,,71,,,,,,,,,,,
"100","07022",,,,,,,,,,,543.5,,,,,5,39,,,,,,,,,,,
"101","07023",,98.25,,,,,,,,,120,,,,,74,,,,,,,,,,,,
"102","07024",,,,,,,,,,,841.5,,,,,17,,,,,,,,,,,,
"103","07025",,,,,,,,,,,636,,,,,,,,,,,,,,,,,
"104","07026",,47,,,,,,,,,462.5,,,,,21,34,,,,,,,,,,,
"105","07027",,,,,,,,,,,,,,,81,,,,,78,170,,2,,,,,
"106","07028",,15,,,,,,,,,,,,,70,,,,,,,,,,,,,
"107","07030",,,,,,,,,,,666,,,,18,,,,,,,,,,,,,
"108","07031",,,,,,,,,,,4053,,,,,,145,,254,,,,,,,,,
"109","07032",,,150,,120,,,,,,64,,,,249,,,,623,,,,,,,,,
"110","07033",,,,,47.5,,,,,,29,,,,,,,,,,,,,,,,,
"111","07034",,,,,,,,9,,,503,,,,28,,7,,,90,,,12,,,,,
"112","07035",,,,,44,,,,,,,,,,536,,,,70,145,223,497,,,,,,
"113","07036",,21.5,,,,,,,,,330,,,,,98,,,,,,,,,,,,
"114","07037",,20,,,1750,,,,,,4.2,,,,3929,,,,2109,,,,,,,,,
"115","07038",,103.5,,,,,,,,,1300,,,,,29,,,,,,,,,24,,,
"116","07039",,,,,,,,,,,3031,,,,,,,,,,,,,,,,,
"117","07040",,15,,,460,,,,,,9,,,,342,,,,318,5,,,,,,,,
"118","07041",,123,,,,,,16.5,,,2278,,,,,,,,,,,,751,,,,,
"119","07042",,,,,,,,,,,455,,,,,,,,,,,,,,,,,
"120","07043",,,,,53.5,,,,,,117,,,,,,,,,,,,,,,,,
"121","07044",,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,
"122","07045",,,,,158,,,,,,205,,,,,,,,,,,,,,,,,
"123","07046",,,,,,,,8.5,,,1362,,,,25.5,,,,,8.5,1687,,54,,,,,
"124","07047",,,,,,,,,,,353,,,,,,,,,,,,,,,,,
"125","07048",,,15,,1925,,,,,,18.5,,,,,,,,,,,,,,,,,
"126","07049",,153,,,,,,,,,1018,,,,,15,5,,,,,,,,,,,
"127","07050",,,,,,,,210,,,325,,,,,,64,,317,,200,,,,,,,
"128","07051",,,,,276,,,,,,22,,,,1910,,,,8556,,63,,,,,,,
"129","07052",,1,,,,,,,,,2779,,,,,,4,,,,,,61,,,,,
"130","07053",,26,,,,,,,,,147,,,,,37.5,,,,,,,,,4,,,
"131","07054",,,,,194,,,,,,,,,,4870,,,,205,475,300,4288,,,,,,
"132","07055",,,,,45,,,,,,,,,,285,,,,,,,41,,,,,,
"133","07056",,,,,,,,,,,58,,,,,7,17,,,,,,,,,,,
"134","07057",,109,,,,,,,,,1014,,,,,102,,,,,,,,,42,,,
"135","07058",,,,,,,,,,,610,,,,,,,,,,,,,,,,,
"136","07059",,,,,,,,140,,,17129,,,,,,125,,60,,,,,,,,,
"137","07060",,,,,,,,,,,339,,,,,,,,,,,,,,,,,
"138","07061",,,,,,,,,,,2362,,,,32,,51,,,,440,,,,,,,
"139","07062",,,15.5,,1805,,,,,,45,,,,,,,,,,,,,,,,,
"140","07064",,60,,,,,,,,,2450,,,,,23,,,,,,,,,,,,
"141","07065",,,,,45,,,1200,,,3098,,,,,,224,,5643.75,,150,,,,,,,
"142","07066",,9,,,,,,,,,404,,,,,,17,,,,,,,,,,,
"143","07067",,,,,,,,,,,157,,,,,,,,,,,,,,,,,
"144","07068",,,,,3242,,,,,,159,,,,,,,,,,,,,,,,,
"145","07069",,,,,,,,,,,141,,,,2000,,,,1478,,133,,19,,,,,
"146","07070",,,,,,,,,,,95,,,,,23,,,,,,,,,2,,,
"147","07071",,10,,,552,,,,,,,,,,3595,,,,3150,,,,,,,,,
"148","07072",,,,,,,,,,,1963,,,,,,,,,,,,,,,,,
"149","07073",,,,,,,,,,,99,,,,,,,,,,,,,,,,,
"150","07074",,,15,,24,,,,,,31,,,,,,,,,,,,,,,,,
"151","07075",,51,,,,,,,,,512.5,,,,,,36,,,,,,,,,,,
"152","07076",,,,,,,,,,,3462,,,,,,,,,,,,,,,,,
"153","07077",,,,,783,,,205,,,2865,,,,,,235,,1482,,,,,,,,,
"154","07078",,92,,,,,,,,,580,,,,,73,,,,,,,,,,,,
"155","07079",,,,,,,,,,,,,,,,,15,,,,,,,,,,,
"156","07080",,17.5,,,,,,,,,1244,,,,,170,,,,,,,,,,,,
"157","07081",,,,,,,,,,,6741,,,,,,,,,,,,,,,,,
"158","07082",,,,,,,,,,,617,,,,,,,,,,,,,,,,,
"159","07083",,,,,,,,,,,690,,,,,,,,,,,,,,,,,
"160","07084",,,,,19,,,,,,224,,,,,,,,,,,,,,,,,
"161","07086",,,,,,,,,,,,,,,6,,10,,,42,162,,,,,,,
"162","07087",,,,,330.1,,,,,,,,,,2415.99,,,,114,,17.8,287,,,,,,
"163","07088",,,,,384,,,,,,15.5,,,,,,,,,,,,,,,,,
"164","07089",,,,,1376,,,,,,,,,,8566,,,,1040,308,353.5,7661,,,,,,
"165","07090",,,,,,,,,,,104,,,,,,,,,,,,,,,,,
"166","07091",,,,,,,,,,,196,,,,,,,,,,,,,,,,,
"167","07092",,,,,558,,,,,,507,,,,33,,515,,,,,,,,,,,
"168","07093",,72,,,,,,,,,103,,,,,10,24,,,,,,,,,,,
"169","07094",,206.5,,,,,,,,,1578,,,,,43,147.25,,,,,,,,,,,
"170","07096",,,,,,,,,,,5502,,,,,,70,,,,,,,,,,,
"171","07097",,,,,,,,,,,,,,,3497.4,,,,,,369,,,,,,,
"172","07098",,7,,,,,,,,,,,,,99,,,,,,,,,,,,,
"173","07099",,410,,,,,,,,,4125,,,,,,8,,,,340,,404,,,,,
"174","07100",,,,,128,,,,,,2032,,,,,,95,,,,,,,,,,,
"175","07101",,,,,,,,,,,3,,,,,,,,,,28,,,,,,,
"176","07102",,,,,1043,,,,,,,,,,394,,,,,,,127.5,,,,,,
"177","07103",,5,,,1890,,,,,,3.5,,,,310,,,,32.5,,,,,,,,,
"178","07104",,44,,,,,,,,,155,,,,,,,,,,,,,,,,,
