"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1871","26051",,,,,,,,,,,,,,,,,,,,,18317828,,,,,,,
"1872","26052",,,,3359178.75,,,,,,,156328,,,,,,,0,,,,,,,,,,
"1873","26053",,,,1307887.81,,,,126300,,,19855.5,,,,,,,,,,110936.5,,,,859668.75,,,
"1874","26055",,,,,,,,,,,,,,,,,549450,,,,27186668.84,,176400,,278027132.4,11063500,,
"1875","26056",,,,4149200,,,,,,,,,,,,,,8677500,,,,,,,,1021791573,,
"1876","26057",,,,106590,,,,,,,,,,,,,,,,,,,,,,,,
"1877","26058",,,,5538760,,,,514721.35,,,93743,,,,,,,194378.98,,,,,,,,,,
"1878","26059",,,,1126540,,,,,,,,,,,,,,,,,,,,,,,,
"1879","26060",,,,145407.36,,,,,,,,,,,,,,1785500.14,,,,,,,526189.13,,,
"1880","26061",,,,106920,,,,,,,,,,,,,,0,,,,,,,,,,
"1881","26062",,,,69524,,,,,,,,,,,,,,,,,,,,,,,,
"1882","26063",,,,126952.43,,,,,,,,,,,,,,,,,,,,,,,,
"1883","26064",,,,1611626,,,,,,,,,,,,,,28426381.98,,,364800,,,,12787875.94,,,
"1884","26065",,,,3882540.92,,,,,,,,,,,,,,12866910,,,,,,,752621.09,,,
"1885","26066",0,,,6215032.04,,,,2687640,,,172260,,,,,,,0,,,2001050,,,,4799148.75,,,
"1886","26067",,,,335780,,,,,,,,,,,,,,0,,,,,,,,,,
"1887","26068",,,,20072,,,,,,,,,,,,,,,,,,,,,,,,
"1888","26069",,,,13812.5,,,,,,,1267410,,,,,14576213.44,,,,,,,,,,,,
"1889","26070",,,,221262.3,,,,,,,,,,,,,,,,,,,,,17919521.49,,,
"1890","26071",,,,,,,,136476767.9,,,31069073,,114400,,,,41663379.06,0,,,,11546020,105279930.17,1096500,511242260,,,
"1891","26072",,,,20440.2,,,,110285322.2,,,9875270.87,,,,0,,27829545.42,23757400,,,7320770.03,43326224.66,54440378.6,2400516,527077345.8,,,
"1892","27001",,,,,,,,5512432.41,,,3157848,,,,,,327441.44,,88536412.34,33064360.93,68020148.48,,844246,,,,,
"1893","27002",,339473.85,,,211634793.32,,,1060685.63,,,2610168.41,,,,269540.25,,2377099.84,,,,,,,,,,,
"1894","27003",,637183.27,,,,,,14791635.04,,,1264405.36,,,,1137187.88,,2164449.77,,,,,,,,,,,
"1895","27004",,,,,6638934.8,,,7475688.53,,,284382.03,,,,,,,,528573.57,539223.3,,,,,,,,
"1896","27005",,,,,172232718,,,,,,1644988.15,,,,,,4067025.6,,,,,,,,,,,
"1897","27006",,22984.4,,,136491609.67,,,,,,1582355.06,,,,137190.01,,5934457.26,,,4502877.66,,,,,,,,
"1898","27007",,,28145345,,,,,2140316.16,,,1519960,,,,,,198261,,43640397,,6391953.24,,946800,,,,,
"1899","27008",,,1136200,,90254497.05,,,,,,2073140.27,,,,,,170205203.82,,,1441221.14,,,,1861610.5,,,,
"1900","27009",,,,,84455.22,,,,,,264985.55,,,,88294.7,,,,42809410,,,,,,,,,
"1901","27010",,,,,44149169.92,,,298832.01,,,680299.99,,,,,,,,,,,,135116.84,,,,,
"1902","27011",,,13705400,,,,,,,,410800,,,,0,,,,,,3339000,,474720,,,,,
"1903","27012",,,0,,,,,,,,858318.96,,,,,,758007.12,,23476738.56,,,,,,,,,
"1904","27013",,,,,572046.33,,,,,,53404,,,,,,,,,,,,,,,,,
