"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"61","05029",,,,1675,,,,,,,,,,,,,,165.02,,,,,,,51,,,
"62","05030",,,,10065.9,,,,984.61,,,312.7,,,,,,,1083.23,,,,,2022,,266.69,7.41,,
"63","05031",,,,13161.83,,,,,,,,,,,,,,190,,,52.8,,,,1848.6,55.2,,
"64","05032",,,,3785.61,,,,,,,4.55,,,,,,,96.2,,,,,,,,,,
"65","05033",,,,22896.86,,,,4784,,,54,,,,,,,3355,,,,,7894.8,,,517,,
"66","05034",,,,,,,,,,,27.03,,,,,,,,,,,,,,,,,
"67","05035",,,,14176.5,,,,,,,4.2,,,,,,,329.8,,,,,,,,,,
"68","05036",,,,41365,,,,938,,,47.16,,,,,,,100.5,,,,,24788.01,,,,,
"69","05037",,,,7907.2,,,,,,,,,,,,,,336.3,,,155.4,,,,380.16,,,
"70","05038",,,,20359.95,,,,,,,,,,,,,,773.19,,,642.75,,,,1943.4,,,
"71","06001",,,,,,,,83.27,,,,,,0,5809.66,,,,,13563,143.15,,,,,,,
"72","06002",,,4805.6,,,,,,,,,,,,1521.67,,513.28,,,35189.8,1456.42,,721.6,,,,,
"73","06003",,2945.8,,,,,,,,,,,,,,,61,,,,1429.1,,10261.6,,,,,156.8
"74","06004",,41.2,5742.6,,,,,1233.6,,,,,,,1978.16,,960.6,,,15918.2,1026,,1341.04,,,,,
"75","06005",,1875.18,7358.4,,,,,,14.2,,,,,,10.4,,84.7,,,1431,1373.3,,3971.12,,,,,1337.5
"76","06006",,,,,,,,,,,,,,,205.16,,292.62,,,16172.94,102.4,,,,,,,
"77","06007",0,489.6,,,,,,10534,,,3.6,,,,29851.87,,105.84,,,21033.76,94,,1295.4,,,,,
"78","06008",,1872,,,,,,,,,,,,,,,89.6,,,,,,,,,,,175.5
"79","06009",,,1033.5,,,,,64.04,,,,,,,17292.43,,1372.4,,,63221.14,400.4,,2012.5,105.15,,,,
"80","06010",,93.24,,,,,,,,,,,,,340.2,,1464,,,1274.7,1099.58,,898.76,,,,,
"81","07001",,349.8,94.5,,74.64,,,,,,45.23,,,,9223.77,,,,5573.54,,39.9,,,,,,,
