Clave,Carretera,Tramo,Ruta,Logitud,Clasificación
295,Chamapa-Lechería,Chamapa-Lechería,57,27.3,A4
310,Chencolli – Uman,Chencolli – Uman,261,201.9,D
320,Chihuahua-Cd. Juárez,Chihuahua-Cd. Juárez,NA,324,NA
320,Chihuahua-Cd. Juárez,Se Deroga,NA,NA,NA
320,Chihuahua-Cd. Juárez,Sacramento - El Sueco,45,127,ET4
320,Chihuahua-Cd. Juárez,El Sueco - Villa Ahumada ( Directo ),45 D,87,ET4
320,Chihuahua-Cd. Juárez,Villa Ahumada - Cd. Juárez,45,110,ET4
330,Chihuahua-Madera,Chihuahua-Madera,16,150.8,NA
330,Chihuahua-Madera,Se Deroga,NA,NA,NA
330,Chihuahua-Madera,Cuauhtémoc-La Junta,16,47.3,B4
340,Chihuahua – Ojinaga,Chihuahua – Ojinaga,16,230.7,NA
340,Chihuahua – Ojinaga,Chihuahua – Aldama,16,26.8,B4
340,Chihuahua – Ojinaga,Aldama – Ojinaga ,16,203.9,C
350,Chilpancingo-Acapulco ,Chilpancingo-Acapulco ,95,144.6,NA
350,Chilpancingo-Acapulco ,Chilpancingo-Acapulco,95,123.5,C
350-L,Libramiento Acapulco,Libramiento Acapulco,95,21.1,A2
360,Chilpancingo - Acapulco (Directo),Chilpancingo - Acapulco (Directo),95 D,91,ET4
370,Chilpancingo – Tlapa,Chilpancingo – Tlapa,93,180,D
380,Ciudad Aleman – Sayula,Ciudad Aleman – Sayula,145,136.5,A2
390,Ciudad Altamirano – Ent. (Carr. Zihuatanejo – La Mira),Ciudad Altamirano – Ent. (Carr. Zihuatanejo – La Mira),134,187.6,B2 
400,Ciudad Del Carmen-Campeche,Ciudad Del Carmen-Campeche,180,222.3,NA
400,Ciudad Del Carmen-Campeche,Ciudad Del Carmen – Champotón,180,141.8,ET2
400,Ciudad Del Carmen-Campeche,Champotón – Haltuchén,180,19.3,ET4
400,Ciudad Del Carmen-Campeche,Haltuchén- Campeche,180,35,C
400-L,Libramiento De Campeche,Libramiento De Campeche,180,26.2,ET4
410,Ciudad Guzmán-Colima ,Ciudad Guzmán-Colima ,54,90,NA
410,Ciudad Guzmán-Colima ,Ciudad Guzmán-El Trapiche,54,80,C
410,Ciudad Guzmán-Colima ,El Trapiche-Colima ,54,10,ET
420,Ciudad Insurgentes – Loreto,Ciudad Insurgentes – Loreto,1,120,ET2
425,Ciudad Juarez-El Porvenir,Ciudad Juarez-El Porvenir,2,69.9,D
430,Ciudad Juárez-Janos,Ciudad Juárez-Janos,2,202.5,NA
430,Ciudad Juárez-Janos,Ciudad Juárez-Ent. (Carr. Jerónimo-Santa Teresa),2,20,B2
430,Ciudad Juárez-Janos,Ent. (Carr. Jerónimo-Santa Teresa)-Ascención ,2,151,A2
430,Ciudad Juárez-Janos,Ascención-Janos,2,31.5,B2
440,Ciudad Obregón-Hermosillo,Ciudad Obregón-Hermosillo,15,252,NA
440,Ciudad Obregón-Hermosillo,Ciudad Obregón-Guaymas (Directo Campo Nuevo),15D,134,ET4
440,Ciudad Obregón-Hermosillo,Guaymas-Hermosillo,15,118,ET4
450,Ciudad Valles-Ciudad Victoria,Ciudad Valles-Ciudad Victoria,85,237,NA
450,Ciudad Valles-Ciudad Victoria,Ciudad Valles - Antiguo Morelos,85,67,B2
450,Ciudad Valles-Ciudad Victoria,Antiguo Morelos - Ciudad Mante,85,29,A2
450,Ciudad Valles-Ciudad Victoria,Ciudad Mante – Llera De Canales,85,83,B2
450,Ciudad Valles-Ciudad Victoria,Llera De Canales-Ciudad Victoria,85,58,B2
460,Ciudad Valles-San Luis Potosí,Ciudad Valles-San Luis Potosí,70,262.47,NA
460,Ciudad Valles-San Luis Potosí,Ciudad Valles-La Pitaya,70,12,ET4
460,Ciudad Valles-San Luis Potosí,La Pitaya-Rayón,70,75.47,C
460,Ciudad Valles-San Luis Potosí,Rayón-Río Verde,70,42,ET2
460,Ciudad Valles-San Luis Potosí,Río Verde-San Luis Potosí,70,133,C
460-R1,Ramal A Rayón,Ramal A Rayón,70,1.5,D
460-R2,Ramal A Cárdenas,Ramal A Cárdenas,70,15.8,D
470,Ciudad Valles-Tampico,Ciudad Valles-Tampico,70,138,NA
470,Ciudad Valles-Tampico,Cd. Valles-Tamuín,70,34,B2*
470,Ciudad Valles-Tampico,Tamuín-El Ébano,70,40,A4
470,Ciudad Valles-Tampico,El Ébano-Cacalilao,70,19,B2
470,Ciudad Valles-Tampico,Cacalilao-Perseverancia,70,26,A2
470,Ciudad Valles-Tampico,Perseverancia-Ent. El Prieto,70,9,B2
470,Ciudad Valles-Tampico,Ent. El Prieto-El Moralillo,70,5,A4
470,Ciudad Valles-Tampico,El Moralillo-Límites De Edos Veracruz/Tamaulipas,70,5,B2
480,Ciudad Victoria-Matamoros,Ciudad Victoria-Matamoros,101,309.9,ET2
490,Ciudad Victoria – Monterrey,Ciudad Victoria – Monterrey,85,274,NA
490,Ciudad Victoria – Monterrey,Ciudad Victoria – Linares,85,154,ET2
490,Ciudad Victoria – Monterrey,Linares – Monterrey,85,120,ET4
500,Ciudad Victoria-Ent. Soto La Marina,Ciudad Victoria-Ent. Soto La Marina,101,117,NA
500,Ciudad Victoria-Ent. Soto La Marina,Ciudad Victoria-Casas,101,41,A2
500,Ciudad Victoria-Ent. Soto La Marina,Casas-Ent. Soto La Marina,101,76,D
510,Coatzacoalcos-Salina Cruz,Coatzacoalcos-Salina Cruz,185,300,NA
510,Coatzacoalcos-Salina Cruz,Coatzacoalcos – Acayucan,185,59.6,B2
